title,price,link
"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS","26,990",https://www.amazon.in/ASUS-Vivobook-Intel-Celeron-39-62cm/dp/B0D81DRTXQ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA&dib_tag=se&keywords=laptop&qid=1722851696&sr=8-18
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU","36,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfYXRmOjMwMDI2MTU1NTQ3NDkzMjo6MDo6&url=%2FHP-i3-1215U-15-6-inch-graphics-speakers%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","47,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_35?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-35
"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS","35,990",https://www.amazon.in/ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_36?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-36
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","33,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfYXRmOjMwMDI4MTgzNTEzNzYzMjo6MDo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","68,990",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_17?dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA&dib_tag=se&keywords=laptop&qid=1722851696&sr=8-17
"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg","36,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfYnRmOjMwMDA2ODM5OTI5MDczMjo6MDo6&url=%2FDell-14-Rheinland-Certified-Comfortview%2Fdp%2FB0BQJ9HZPP%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN","25,990",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_31?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-31
"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU","42,084",https://www.amazon.in/HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_20?dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA&dib_tag=se&keywords=laptop&qid=1722851696&sr=8-20
"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6Cm) FHD Thin and Light Laptop (16Gb/512GB SSD/Win 11/Office 2021/Backlit Keyboard/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82XQ008VIN","43,490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzQyMzMzMjYwMDAwODg1OjE3MjI4NTE3MDg6c3BfYXRmX25leHQ6MzAwMDcxOTU3OTIzNTMyOjowOjo&url=%2FLenovo-Ideapad-Backlit-Keyboard-82XQ008VIN%2Fdp%2FB0CD4BQ4SF%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851708%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
